#  G_vec| (bohr), n(G) (1/bohr**3), rs=2.07 bohr
5.233606480800049532e+00,-3.018289518350368930e-05
6.356192985892704428e+00,-9.694544572698451088e-06
7.584216325457218133e+00,-3.144890836719401977e-06
7.166410816598538958e+00,-4.556291164491055948e-06
6.192486698752061258e+00,-1.136301891453961175e-05
5.426318692775305763e+00,-2.463595870152107700e-05
4.965035056903934318e+00,-4.029696787151732261e-05
4.895590587088369361e+00,-4.347413804279895699e-05
5.233606480800049532e+00,-3.018289518350368930e-05
5.909573750680936932e+00,-1.503065929985462130e-05
6.823787991503171391e+00,-6.232308664934016995e-06
7.538937017341037716e+00,-3.271937121530247966e-06
6.823787991503171391e+00,-6.232308664934016995e-06
6.356192985892705316e+00,-9.694544572698444312e-06
6.192486698752060370e+00,-1.136301891453963716e-05
6.356192985892704428e+00,-9.694544572698451088e-06
6.823787991503171391e+00,-6.232308664934016995e-06
7.538937017341038604e+00,-3.271937121530229755e-06
7.538937017341037716e+00,-3.271937121530247966e-06
7.584216325457219021e+00,-3.144890836719400283e-06
7.401437265271155752e+00,-3.693188222828880086e-06
7.166410816598538069e+00,-4.556291164491073735e-06
7.214028688060322381e+00,-4.365119561704299481e-06
7.538937017341037716e+00,-3.271937121530247966e-06
7.021619915131416256e+00,-5.195732035719585328e-06
6.356192985892705316e+00,-9.694544572698444312e-06
5.967229494047800564e+00,-1.418989255999030612e-05
5.909573750680936932e+00,-1.503065929985462130e-05
6.192486698752060370e+00,-1.136301891453963716e-05
6.773427244245417533e+00,-6.530736749483319758e-06
7.584216325457219021e+00,-3.144890836719400283e-06
7.401437265271156640e+00,-3.693188222828888556e-06
6.356192985892704428e+00,-9.694544572698451088e-06
5.489052784903740267e+00,-2.307751171487049200e-05
4.895590587088369361e+00,-4.347413804279895699e-05
4.681079943420943579e+00,-5.512876716717852977e-05
4.895590587088369361e+00,-4.347413804279895699e-05
5.489052784903740267e+00,-2.307751171487049200e-05
6.356192985892704428e+00,-9.694544572698451088e-06
7.401437265271156640e+00,-3.693188222828888556e-06
7.166410816598538069e+00,-4.556291164491073735e-06
5.967229494047800564e+00,-1.418989255999030612e-05
4.895590587088369361e+00,-4.347413804279895699e-05
4.053934148148360173e+00,-1.134623339314603157e-04
3.607014344030161190e+00,-1.945900418187152306e-04
3.700718632635577876e+00,-1.734903095542164012e-04
4.299846489959123552e+00,-8.507360687019723281e-05
5.233606480800049532e+00,-3.018289518350368930e-05
6.356192985892704428e+00,-9.694544572698451088e-06
7.584216325457219021e+00,-3.144890836719400283e-06
7.214028688060322381e+00,-4.365119561704299481e-06
5.909573750680936932e+00,-1.503065929985462130e-05
4.681079943420943579e+00,-5.512876716717852977e-05
3.607014344030161190e+00,-1.945900418187152306e-04
2.866564326639415405e+00,-4.941677926087642125e-04
2.744526392451870134e+00,-5.775128569677195206e-04
3.310023371269289694e+00,-2.814759444553501877e-04
4.299846489959123552e+00,-8.507360687019723281e-05
5.489052784903740267e+00,-2.307751171487049200e-05
6.773427244245417533e+00,-6.530736749483319758e-06
7.538937017341037716e+00,-3.271937121530247966e-06
6.192486698752061258e+00,-1.136301891453961175e-05
4.895590587088369361e+00,-4.347413804279895699e-05
3.700718632635578320e+00,-1.734903095542164012e-04
2.744526392451870134e+00,-5.775128569677195206e-04
2.340539971710471789e+00,-9.588369635506557333e-04
2.744526392451870134e+00,-5.775128569677195206e-04
3.700718632635577876e+00,-1.734903095542164012e-04
4.895590587088369361e+00,-4.347413804279895699e-05
6.192486698752061258e+00,-1.136301891453961175e-05
7.538937017341037716e+00,-3.271937121530247966e-06
6.773427244245417533e+00,-6.530736749483319758e-06
5.489052784903740267e+00,-2.307751171487049200e-05
4.299846489959122664e+00,-8.507360687019731413e-05
3.310023371269289694e+00,-2.814759444553501877e-04
2.744526392451870134e+00,-5.775128569677195206e-04
2.866564326639415405e+00,-4.941677926087642125e-04
3.607014344030161190e+00,-1.945900418187152306e-04
4.681079943420943579e+00,-5.512876716717852977e-05
5.909573750680936932e+00,-1.503065929985462130e-05
7.214028688060322381e+00,-4.365119561704299481e-06
7.584216325457219021e+00,-3.144890836719400283e-06
6.356192985892705316e+00,-9.694544572698444312e-06
5.233606480800049532e+00,-3.018289518350368930e-05
4.299846489959122664e+00,-8.507360687019731413e-05
3.700718632635577876e+00,-1.734903095542164012e-04
3.607014344030161190e+00,-1.945900418187152306e-04
4.053934148148360173e+00,-1.134623339314603157e-04
4.895590587088369361e+00,-4.347413804279895699e-05
5.967229494047800564e+00,-1.418989255999030612e-05
7.166410816598538069e+00,-4.556291164491073735e-06
7.401437265271156640e+00,-3.693188222828888556e-06
6.356192985892704428e+00,-9.694544572698451088e-06
5.489052784903740267e+00,-2.307751171487049200e-05
4.895590587088369361e+00,-4.347413804279895699e-05
4.681079943420943579e+00,-5.512876716717852977e-05
4.895590587088369361e+00,-4.347413804279895699e-05
5.489052784903740267e+00,-2.307751171487049200e-05
6.356192985892705316e+00,-9.694544572698444312e-06
7.401437265271155752e+00,-3.693188222828880086e-06
7.584216325457219021e+00,-3.144890836719400283e-06
6.773427244245417533e+00,-6.530736749483319758e-06
6.192486698752061258e+00,-1.136301891453961175e-05
5.909573750680936932e+00,-1.503065929985462130e-05
5.967229494047800564e+00,-1.418989255999030612e-05
6.356192985892704428e+00,-9.694544572698451088e-06
7.021619915131416256e+00,-5.195732035719585328e-06
7.538937017341037716e+00,-3.271937121530247966e-06
7.214028688060322381e+00,-4.365119561704299481e-06
7.166410816598538069e+00,-4.556291164491073735e-06
7.401437265271154864e+00,-3.693188222828872462e-06
7.584216325457218133e+00,-3.144890836719401977e-06
7.166410816598538069e+00,-4.556291164491073735e-06
7.021619915131415368e+00,-5.195732035719561611e-06
7.166410816598538069e+00,-4.556291164491073735e-06
7.584216325457218133e+00,-3.144890836719401977e-06
7.584216325457219021e+00,-3.144890836719400283e-06
6.773427244245417533e+00,-6.530736749483319758e-06
6.192486698752060370e+00,-1.136301891453963716e-05
5.909573750680936932e+00,-1.503065929985462130e-05
5.967229494047800564e+00,-1.418989255999030612e-05
6.356192985892705316e+00,-9.694544572698444312e-06
7.021619915131416256e+00,-5.195732035719585328e-06
7.166410816598538069e+00,-4.556291164491073735e-06
6.192486698752060370e+00,-1.136301891453963716e-05
5.426318692775305763e+00,-2.463595870152107700e-05
4.965035056903934318e+00,-4.029696787151732261e-05
4.895590587088369361e+00,-4.347413804279895699e-05
5.233606480800049532e+00,-3.018289518350368930e-05
5.909573750680936932e+00,-1.503065929985462130e-05
6.823787991503171391e+00,-6.232308664934016995e-06
7.021619915131415368e+00,-5.195732035719561611e-06
5.909573750680936932e+00,-1.503065929985462130e-05
4.965035056903934318e+00,-4.029696787151732261e-05
4.299846489959122664e+00,-8.507360687019731413e-05
4.053934148148360173e+00,-1.134623339314603157e-04
4.299846489959123552e+00,-8.507360687019723281e-05
4.965035056903934318e+00,-4.029696787151732261e-05
5.909573750680936932e+00,-1.503065929985462130e-05
7.021619915131416256e+00,-5.195732035719585328e-06
7.166410816598538069e+00,-4.556291164491073735e-06
5.967229494047800564e+00,-1.418989255999030612e-05
4.895590587088369361e+00,-4.347413804279895699e-05
4.053934148148360173e+00,-1.134623339314603157e-04
3.607014344030161190e+00,-1.945900418187152306e-04
3.700718632635577432e+00,-1.734903095542166451e-04
4.299846489959123552e+00,-8.507360687019723281e-05
5.233606480800049532e+00,-3.018289518350368930e-05
6.356192985892704428e+00,-9.694544572698451088e-06
7.584216325457218133e+00,-3.144890836719401977e-06
7.584216325457219021e+00,-3.144890836719400283e-06
6.356192985892705316e+00,-9.694544572698444312e-06
5.233606480800049532e+00,-3.018289518350368930e-05
4.299846489959122664e+00,-8.507360687019731413e-05
3.700718632635577876e+00,-1.734903095542164012e-04
3.607014344030161190e+00,-1.945900418187152306e-04
4.053934148148360173e+00,-1.134623339314603157e-04
4.895590587088369361e+00,-4.347413804279895699e-05
5.967229494047800564e+00,-1.418989255999030612e-05
7.166410816598538069e+00,-4.556291164491073735e-06
7.021619915131416256e+00,-5.195732035719585328e-06
5.909573750680936932e+00,-1.503065929985462130e-05
4.965035056903934318e+00,-4.029696787151732261e-05
4.299846489959122664e+00,-8.507360687019731413e-05
4.053934148148359284e+00,-1.134623339314603428e-04
4.299846489959122664e+00,-8.507360687019731413e-05
4.965035056903934318e+00,-4.029696787151732261e-05
5.909573750680936932e+00,-1.503065929985462130e-05
7.021619915131415368e+00,-5.195732035719561611e-06
6.823787991503170502e+00,-6.232308664934003443e-06
5.909573750680936932e+00,-1.503065929985462130e-05
5.233606480800049532e+00,-3.018289518350368930e-05
4.895590587088369361e+00,-4.347413804279895699e-05
4.965035056903934318e+00,-4.029696787151732261e-05
5.426318692775305763e+00,-2.463595870152107700e-05
6.192486698752060370e+00,-1.136301891453963716e-05
7.166410816598538069e+00,-4.556291164491073735e-06
7.021619915131416256e+00,-5.195732035719585328e-06
6.356192985892705316e+00,-9.694544572698444312e-06
5.967229494047800564e+00,-1.418989255999030612e-05
5.909573750680936932e+00,-1.503065929985462130e-05
6.192486698752061258e+00,-1.136301891453961175e-05
6.773427244245417533e+00,-6.530736749483319758e-06
7.584216325457219021e+00,-3.144890836719400283e-06
7.584216325457219021e+00,-3.144890836719400283e-06
7.166410816598538069e+00,-4.556291164491073735e-06
7.021619915131415368e+00,-5.195732035719561611e-06
7.166410816598538069e+00,-4.556291164491073735e-06
7.584216325457219021e+00,-3.144890836719400283e-06
7.538937017341037716e+00,-3.271937121530247966e-06
7.214028688060322381e+00,-4.365119561704299481e-06
7.166410816598538069e+00,-4.556291164491073735e-06
7.401437265271155752e+00,-3.693188222828880086e-06
7.538937017341038604e+00,-3.271937121530229755e-06
6.823787991503171391e+00,-6.232308664934016995e-06
6.356192985892705316e+00,-9.694544572698444312e-06
6.192486698752060370e+00,-1.136301891453963716e-05
6.356192985892705316e+00,-9.694544572698444312e-06
6.823787991503171391e+00,-6.232308664934016995e-06
7.538937017341038604e+00,-3.271937121530229755e-06
7.214028688060322381e+00,-4.365119561704299481e-06
6.356192985892705316e+00,-9.694544572698444312e-06
5.733128653278830811e+00,-1.795845901813748137e-05
5.426318692775305763e+00,-2.463595870152107700e-05
5.489052784903740267e+00,-2.307751171487049200e-05
5.909573750680936932e+00,-1.503065929985462130e-05
6.620046742538579387e+00,-7.539549964383499209e-06
7.538937017341038604e+00,-3.271937121530229755e-06
7.166410816598538958e+00,-4.556291164491055948e-06
6.192486698752061258e+00,-1.136301891453961175e-05
5.426318692775305763e+00,-2.463595870152107700e-05
4.965035056903934318e+00,-4.029696787151732261e-05
4.895590587088369361e+00,-4.347413804279895699e-05
5.233606480800049532e+00,-3.018289518350368930e-05
5.909573750680936932e+00,-1.503065929985462130e-05
6.823787991503171391e+00,-6.232308664934016995e-06
7.401437265271156640e+00,-3.693188222828888556e-06
6.356192985892704428e+00,-9.694544572698451088e-06
5.489052784903740267e+00,-2.307751171487049200e-05
4.895590587088369361e+00,-4.347413804279895699e-05
4.681079943420943579e+00,-5.512876716717852977e-05
4.895590587088369361e+00,-4.347413804279895699e-05
5.489052784903740267e+00,-2.307751171487049200e-05
6.356192985892705316e+00,-9.694544572698444312e-06
7.401437265271155752e+00,-3.693188222828880086e-06
6.823787991503170502e+00,-6.232308664934003443e-06
5.909573750680936932e+00,-1.503065929985462130e-05
5.233606480800049532e+00,-3.018289518350368930e-05
4.895590587088369361e+00,-4.347413804279895699e-05
4.965035056903934318e+00,-4.029696787151732261e-05
5.426318692775305763e+00,-2.463595870152107700e-05
6.192486698752060370e+00,-1.136301891453963716e-05
7.166410816598538069e+00,-4.556291164491073735e-06
7.538937017341037716e+00,-3.271937121530247966e-06
6.620046742538579387e+00,-7.539549964383499209e-06
5.909573750680937820e+00,-1.503065929985467381e-05
5.489052784903740267e+00,-2.307751171487049200e-05
5.426318692775305763e+00,-2.463595870152107700e-05
5.733128653278830811e+00,-1.795845901813748137e-05
6.356192985892705316e+00,-9.694544572698444312e-06
7.214028688060322381e+00,-4.365119561704299481e-06
7.538937017341038604e+00,-3.271937121530229755e-06
6.823787991503172279e+00,-6.232308664934000054e-06
6.356192985892705316e+00,-9.694544572698444312e-06
6.192486698752061258e+00,-1.136301891453961175e-05
6.356192985892705316e+00,-9.694544572698444312e-06
6.823787991503171391e+00,-6.232308664934016995e-06
7.538937017341038604e+00,-3.271937121530229755e-06
7.401437265271155752e+00,-3.693188222828880086e-06
7.166410816598538958e+00,-4.556291164491055948e-06
7.214028688060322381e+00,-4.365119561704299481e-06
7.538937017341037716e+00,-3.271937121530247966e-06
7.538937017341037716e+00,-3.271937121530247966e-06
7.584216325457218133e+00,-3.144890836719401977e-06
7.166410816598538958e+00,-4.556291164491055948e-06
6.823787991503171391e+00,-6.232308664934016995e-06
6.773427244245417533e+00,-6.530736749483319758e-06
7.021619915131416256e+00,-5.195732035719585328e-06
7.538937017341038604e+00,-3.271937121530229755e-06
7.538937017341037716e+00,-3.271937121530247966e-06
6.823787991503171391e+00,-6.232308664934016995e-06
6.356192985892705316e+00,-9.694544572698444312e-06
6.192486698752060370e+00,-1.136301891453963716e-05
6.356192985892704428e+00,-9.694544572698451088e-06
6.823787991503171391e+00,-6.232308664934016995e-06
7.538937017341038604e+00,-3.271937121530229755e-06
7.584216325457219021e+00,-3.144890836719400283e-06
6.773427244245417533e+00,-6.530736749483319758e-06
6.192486698752061258e+00,-1.136301891453961175e-05
5.909573750680936932e+00,-1.503065929985462130e-05
5.967229494047800564e+00,-1.418989255999030612e-05
6.356192985892704428e+00,-9.694544572698451088e-06
7.021619915131416256e+00,-5.195732035719585328e-06
7.021619915131416256e+00,-5.195732035719585328e-06
6.356192985892705316e+00,-9.694544572698444312e-06
5.967229494047800564e+00,-1.418989255999030612e-05
5.909573750680936932e+00,-1.503065929985462130e-05
6.192486698752061258e+00,-1.136301891453961175e-05
6.773427244245417533e+00,-6.530736749483319758e-06
7.584216325457219021e+00,-3.144890836719400283e-06
7.538937017341038604e+00,-3.271937121530229755e-06
6.823787991503172279e+00,-6.232308664934000054e-06
6.356192985892705316e+00,-9.694544572698444312e-06
6.192486698752061258e+00,-1.136301891453961175e-05
6.356192985892705316e+00,-9.694544572698444312e-06
6.823787991503171391e+00,-6.232308664934016995e-06
7.538937017341038604e+00,-3.271937121530229755e-06
7.538937017341038604e+00,-3.271937121530229755e-06
7.021619915131416256e+00,-5.195732035719585328e-06
6.773427244245417533e+00,-6.530736749483319758e-06
6.823787991503171391e+00,-6.232308664934016995e-06
7.166410816598538958e+00,-4.556291164491055948e-06
7.584216325457219021e+00,-3.144890836719400283e-06
7.538937017341038604e+00,-3.271937121530229755e-06
7.538937017341037716e+00,-3.271937121530247966e-06
7.584216325457219021e+00,-3.144890836719400283e-06
7.538937017341037716e+00,-3.271937121530247966e-06
7.214028688060322381e+00,-4.365119561704299481e-06
7.166410816598538069e+00,-4.556291164491073735e-06
7.401437265271154864e+00,-3.693188222828872462e-06
7.584216325457219021e+00,-3.144890836719400283e-06
7.166410816598538069e+00,-4.556291164491073735e-06
7.021619915131415368e+00,-5.195732035719561611e-06
7.166410816598538069e+00,-4.556291164491073735e-06
7.584216325457219021e+00,-3.144890836719400283e-06
7.401437265271155752e+00,-3.693188222828880086e-06
7.166410816598538958e+00,-4.556291164491055948e-06
7.214028688060322381e+00,-4.365119561704299481e-06
7.538937017341037716e+00,-3.271937121530247966e-06
7.584216325457219021e+00,-3.144890836719400283e-06
7.538937017341038604e+00,-3.271937121530229755e-06
